36,12,30,52,29,31,13,29,69,56,17,31,33,33,29,31,28,32,4,13,47
47,11,26,48,23,35,13,29,68,64,19,20,25,23,27,38,43,27,8,15,46
42,7,20,49,12,35,19,29,77,64,19,24,27,27,35,40,31,36,2,16,44
39,12,24,41,24,32,17,44,79,51,22,23,32,20,32,35,39,38,2,10,39
36,7,27,63,17,34,12,32,71,66,20,25,33,26,44,32,34,25,3,10,38
41,5,17,41,19,32,17,24,77,82,17,28,33,26,36,37,27,36,4,20,36
41,8,26,43,20,30,20,26,72,77,25,26,25,31,34,34,31,30,4,18,34
39,9,30,51,17,25,9,34,78,70,28,29,27,29,34,34,30,33,8,12,29
40,7,25,53,30,32,14,31,72,66,30,25,22,29,31,51,24,29,5,13,26
43,7,18,49,24,27,10,34,87,72,25,25,25,26,30,48,21,38,7,16,23
36,10,37,49,27,29,9,31,65,70,32,17,27,36,41,33,26,40,3,19,18
39,5,34,66,26,21,13,32,83,57,25,25,25,33,29,29,33,45,4,15,16
40,11,29,54,22,24,18,37,79,57,37,25,26,23,26,44,35,41,4,14,9
41,6,22,59,20,33,13,34,83,71,34,25,30,27,25,41,29,37,6,15,4
38,5,24,46,24,32,18,28,100,55,32,23,23,37,33,35,34,49,7,12,0
,0,0,0,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0
37,13,32,50,18,40,19,33,78,58,33,30,24,27,37,27,29,41,5,24,0
32,10,25,57,18,32,16,41,78,71,24,37,28,30,31,36,31,27,2,29,0
31,8,31,61,14,38,19,32,77,61,19,25,33,36,37,42,24,48,4,12,3
37,9,43,63,17,28,14,36,81,55,21,22,37,30,34,43,26,36,10,8,5
44,18,24,52,18,25,19,34,71,70,28,21,34,30,30,46,27,39,5,12,8
39,14,31,50,23,33,16,28,73,61,26,18,33,35,37,39,27,40,6,14,12
46,11,34,52,18,39,11,29,75,58,12,31,29,38,44,44,22,27,5,15,15
49,16,27,56,15,37,17,27,78,50,14,23,30,34,42,46,29,33,3,11,18
33,12,32,52,14,37,15,29,65,59,25,24,44,30,42,37,35,28,6,17,19
39,8,38,67,15,37,10,31,72,52,23,19,41,24,38,40,22,38,5,17,19
36,12,35,53,15,38,22,34,65,61,13,15,43,28,42,48,29,26,7,13,20
45,10,24,45,20,40,20,33,68,54,15,26,39,35,37,38,23,41,5,16,21
42,14,33,49,14,34,17,30,46,64,14,23,41,33,53,46,26,34,6,14,22
40,11,28,47,14,47,20,17,59,55,21,38,35,28,39,45,32,35,7,13,24
40,9,28,49,14,33,24,26,56,60,16,26,37,24,50,40,39,40,5,13,26
