41045,14556,31594,51632,22144,35485,15893,30538,46082,61151,13804,24813,35214,31679,38042,50063,33647,37763,7038,16300,12822
40329,14051,31714,51194,22879,37914,15949,31611,47418,61573,13753,25121,34139,31130,35171,51854,33425,37125,6679,16340,11936
40723,12717,31324,50028,22851,37208,21367,30180,46212,61359,13604,24606,34424,30771,34525,53656,33283,37389,6910,17033,11135
41490,13657,31948,50441,22764,35587,16509,29587,47686,60336,13538,25310,34104,31540,35200,51519,37542,37005,7144,18083,10315
41035,13356,31721,50979,23023,42419,17354,29754,47251,63839,13151,24241,35136,30914,35844,49331,32753,36599,6703,16384,9518
41284,13566,31314,54839,23828,36325,16377,30787,48665,61212,13521,25413,34171,31208,35218,49915,34012,37331,7203,16423,8693
41607,12932,31388,49878,22767,35482,16316,30445,52704,61642,13646,26029,33862,31127,38350,49793,33508,37479,7485,16989,7876
40503,12899,30596,49529,23088,36538,20326,31129,48241,62269,14055,24861,38903,31069,35063,50043,33709,36838,7616,17079,6951
40700,14146,31886,53998,23490,36374,18544,28855,50508,58542,13569,24474,34080,33336,35922,50605,32185,36080,7112,20850,6049
41522,12783,31201,52091,23034,35659,15423,31582,51326,62742,14360,24985,33016,30849,38231,50665,34705,38053,7313,16728,5037
40431,18448,30196,49586,23660,36625,15139,33319,51105,64205,14129,24650,33817,30717,35869,48569,33927,37899,7335,17703,3976
39776,11787,33174,59932,21752,34492,20240,29976,52013,60297,13736,25965,35633,30694,34147,50876,33277,35940,7293,17451,2854
41212,11798,33118,61166,22810,33824,15857,28224,53806,59886,14049,25784,34301,32084,35756,49436,36649,35674,6763,17293,1815
40274,18212,29766,49235,24280,39411,16269,31498,54140,66663,14676,23881,33485,29894,36592,46730,33060,37107,8473,16774,885
37693,13797,27477,62289,19959,44730,14821,28631,52564,64184,16034,24475,31839,33358,41418,45174,29346,36835,9290,17387,4
0,0,0,0,0,0,0,0,651305,0,0,0,0,0,0,0,0,0,0,0,0
46198,14319,34558,56961,19078,36391,15991,31250,52564,57011,15067,26510,36937,28875,36965,43800,34966,38261,6705,17383,1515
,38272,14164,28026,47913,30104,34928,17318,33039,54139,66767,13932,24370,33335,30760,36479,46689,31647,37000,7836,21481,3106
39876,12365,31337,57124,23022,35683,16419,30008,53806,61135,12877,24728,33632,32116,37455,51313,32864,37633,7027,16238,4647
39194,19313,32412,56148,22698,35529,15576,30330,52012,59474,12453,23907,33719,32305,35863,50053,33902,36721,7275,16237,6184
40397,13116,31207,52338,23925,37747,16491,30447,51104,62500,13325,25703,33410,30323,36004,51219,32246,37438,7499,17083,7783
39761,12692,30399,53554,24567,34969,16726,29888,51327,63153,13381,24235,33623,30921,35726,52297,32813,37964,7221,16815,9273
41610,17382,32012,52150,21434,37712,16314,28716,50508,57014,12358,25751,34831,31957,35942,52413,33343,36056,6926,16187,10689
39582,12884,31654,51507,24458,39665,16349,28722,48241,64793,12667,24427,34672,31006,36149,49879,32156,36493,6871,16915,12215
39759,13156,31039,50488,22344,35302,15401,31231,52704,60988,13099,25641,33859,30508,35937,50772,33821,37758,6737,17129,13632
42156,13334,31173,50244,22221,37901,16644,29522,48666,59586,12647,24846,34199,31720,36257,51146,33462,37073,7036,16413,15059
40469,13551,31208,50040,26780,35010,21371,28654,47250,58851,12430,24942,34424,30735,34844,51557,33079,36048,6949,16676,16437
39440,13201,31213,51640,23032,36355,15961,29009,47686,61342,12744,25259,33859,32046,35093,53306,32882,36267,6890,16277,17803
40306,14302,30412,51108,22076,37415,15770,29405,46212,60357,13003,24944,33692,31357,38205,50054,33204,36658,7129,16510,19186
39211,14200,31207,50458,22509,36676,15483,31314,47418,60595,12841,24944,34225,30458,34514,51660,33313,37018,6895,15831,20535
40183,12372,31589,50529,21689,36163,21633,28876,46082,59216,12650,24757,35298,29915,33681,52786,33175,36253,6626,15950,21882

